,Unnamed: 0,Unnamed: 0.1_x,S1501_C01_025E,S1501_C01_026E,S1501_C01_027E,S1903_C03_014E,S1903_C03_001E,S2301_C03_010E,S2301_C02_011E,S0101_C01_015E,S0101_C01_016E,S0101_C01_017E,S0101_C01_018E,S0101_C01_019E,S1701_C01_001E,S1701_C02_001E,S1701_C01_010E,S1701_C02_010E,S0101_C01_033E,S0101_C03_030E,S0101_C05_030E,S1810_C03_026E,S1810_C03_036E,S1810_C03_044E,S1810_C03_052E,S1810_C03_060E,S1810_C03_067E,S2101_C03_012E,S2101_C03_013E,S2201_C03_001E,S2201_C01_001E,S2701_C01_013E,S2701_C04_013E,state,fips,Unnamed: 0.1_y,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B02001_008E,B02001_001E,B01001A_014E,B01001A_015E,B01001A_016E,B01001A_029E,B01001A_030E,B01001A_031E,B01001B_014E,B01001B_015E,B01001B_016E,B01001B_029E,B01001B_030E,B01001B_031E,B01001C_014E,B01001C_015E,B01001C_016E,B01001C_029E,B01001C_030E,B01001C_031E,B01001D_014E,B01001D_015E,B01001D_016E,B01001D_029E,B01001D_030E,B01001D_031E,B01001E_014E,B01001E_015E,B01001E_016E,B01001E_029E,B01001E_030E,B01001E_031E,B01001F_014E,B01001F_015E,B01001F_016E,B01001F_029E,B01001F_030E,B01001F_031E,B01001G_014E,B01001G_015E,B01001G_016E,B01001G_029E,B01001G_030E,B01001G_031E,B01001I_014E,B01001I_015E,B01001I_016E,B01001I_029E,B01001I_030E,B01001I_031E,year,population_all,population_65,income_median_house_65,income_median_house_all,per_poverty_all,per_poverty_65,per_male_all,per_hear_diffi_65,per_vision_diffi_65,per_cog_diffi_65,per_ambu_diffi_65,per_selfCare_diffi_65,per_indeLive_diffi_65,per_oneRace_white_all,per_oneRace_baa_all,per_oneRace_aian_all,per_oneRace_asian_all,per_oneRace_nhopi_all,per_oneRace_other_all,per_twoRace_over_all,per_male_65
0,0,"Alaska: Summary level: 040, state:02",88000,78501,28693,59339,74346,28.1,8.9,37327,22303,12674,8326,7370,720869,78620,86398,5829,108.0,44317,43683,20.2,9.2,9.5,21.7,7.7,13.1,14805,7949,27815,254551,86398,636,Alaska,2,"Alaska: Summary level: 040, state:02",474555,25197,111371,46381,7958,9780,62196,737438,23457,7778,2674,20908,8187,2810,919.0,141.0,124.0,784.0,176.0,269.0,3509.0,1265.0,262.0,3773.0,1535.0,441.0,2062.0,302.0,168.0,1807.0,899.0,376.0,187.0,0.0,0.0,115.0,0.0,0.0,,,,,,,570,278,208,1076,180,24,812,537,0,914,350,0,2018,737438,88000,59339,74346,0.10906281168977998,0.06746683951017385,0.5192307692307693,0.20199999999999999,0.092,0.095,0.217,0.077,0.131,0.6435185059625351,0.03416829618218752,0.15102422169728166,0.06289477895090842,0.010791415685115224,0.013262131867356985,0.08434064965461503,0.38532954545454545
1,1,"Maine: Summary level: 040, state:23",276069,247476,83544,40435,55602,26.6,6.6,92398,71555,45849,31418,34849,1301941,151541,267600,24261,96.1,124873,151196,16.9,5.1,8.0,19.2,5.6,11.3,30027,25673,73727,570307,267600,371,Maine,23,"Maine: Summary level: 040, state:23",1261453,18954,8566,15683,465,3264,30019,1338404,76520,33553,12650,83418,42499,21971,537.0,167.0,0.0,134.0,85.0,0.0,223.0,94.0,0.0,213.0,138.0,41.0,337.0,0.0,0.0,1082.0,236.0,167.0,,,,,,,,,,,,,469,276,0,952,211,20,346,178,0,780,410,234,2018,1338404,276069,40435,55602,0.11639621150267178,0.09066143497757848,0.49005609382967874,0.16899999999999998,0.051,0.08,0.192,0.055999999999999994,0.113,0.94250540195636,0.01416164327064175,0.006400160190794409,0.011717687633928171,0.00034742872854534205,0.002438725526821498,0.022428952692908868,0.44453741637054506
2,2,"North Carolina: Summary level: 040, state:37",1688574,1430755,453837,41169,53855,23.1,6.8,557841,456155,307710,187801,179067,10100431,1417873,1649045,142973,94.8,737862,950712,14.4,6.2,8.7,21.2,7.1,13.6,167641,129326,465045,4011462,1649045,8991,North Carolina,37,"North Carolina: Summary level: 040, state:37",7098569,2222533,120845,306682,10218,326630,298143,10383620,367806,176776,51000,418363,225137,98724,76790.0,29285.0,7081.0,106734.0,48174.0,17702.0,4619.0,2261.0,38.0,5787.0,2646.0,678.0,8487.0,1952.0,478.0,10652.0,2963.0,1130.0,439.0,95.0,0.0,349.0,77.0,0.0,2365.0,926.0,381.0,3295.0,1194.0,676.0,4502,2026,555,3808,1999,624,10492,3351,1432,11946,5345,2469,2018,10383620,1688574,41169,53855,0.14037747498101813,0.0867004842196544,0.48665297741273095,0.14400000000000002,0.062,0.087,0.212,0.071,0.136,0.6836314310423532,0.2140422126387522,0.011638041453751196,0.02953517174164694,0.00098404987855873,0.03145627440141299,0.028712818843524706,0.35271299925262384
3,3,"Missouri: Summary level: 040, state:29",1035074,900458,241853,41038,54478,23.9,6.4,325747,270876,189386,124260,124805,5943658,786330,998152,82040,96.2,456820,578254,15.8,6.5,8.5,23.1,7.4,13.8,111167,89618,260185,2434806,998152,5233,Missouri,29,"Missouri: Summary level: 040, state:29",5035197,704327,27705,121417,7385,56557,173864,6126452,247844,125237,39544,279633,160457,73264,21012.0,8533.0,2735.0,29161.0,12337.0,7281.0,837.0,455.0,207.0,1186.0,475.0,104.0,2820.0,1558.0,188.0,5003.0,1765.0,246.0,245.0,28.0,0.0,341.0,0.0,0.0,1131.0,356.0,43.0,688.0,209.0,182.0,2527,872,648,4195,1364,363,4820,1586,640,6391,1655,407,2018,6126452,1035074,41038,54478,0.13229731589536275,0.0821918906138544,0.490316004077472,0.158,0.065,0.085,0.231,0.07400000000000001,0.138,0.8218781441526025,0.11496490954307648,0.004522193269448614,0.019818485479034195,0.001205428525352031,0.009231607462198348,0.02837923156828781,0.3986429955732634
4,4,"Pennsylvania: Summary level: 040, state:42",2332369,2035669,569760,41762,60905,25.7,7.3,738871,572288,416388,291182,313640,12394000,1517870,2254045,187159,96.0,1020825,1311544,13.7,5.5,7.8,20.8,7.0,13.9,213114,212748,679656,5070931,2254045,8284,Pennsylvania,42,"Pennsylvania: Summary level: 040, state:42",10256084,1428406,21418,455027,5008,307572,333545,12807060,550398,271907,99640,610197,366123,188220,40841.0,19140.0,5071.0,58945.0,29999.0,14590.0,802.0,59.0,0.0,198.0,234.0,61.0,14115.0,5016.0,1493.0,16277.0,7129.0,1889.0,,,,,,,5180.0,1322.0,597.0,5689.0,2932.0,960.0,3534,985,532,4676,2492,587,15685,5682,1859,18452,8237,2307,2018,12807060,2332369,41762,60905,0.12246812974019687,0.08303250378763512,0.4897959183673469,0.13699999999999998,0.055,0.078,0.20800000000000002,0.07,0.139,0.8008148630520978,0.11153270149433203,0.0016723588395775456,0.03552938769709832,0.00039103432013280173,0.024015816276335086,0.02604383832042639,0.39528265038679555
5,5,"Michigan: Summary level: 040, state:26",1720453,1522902,425717,42816,56697,21.1,6.1,571074,438112,307120,199854,204293,9774124,1373349,1680663,151051,97.2,769203,951250,14.7,5.4,8.1,21.1,7.6,13.9,160392,135413,498793,3957466,1680663,5241,Michigan,26,"Michigan: Summary level: 040, state:26",7825285,1376751,53012,325828,3907,118467,292665,9995915,412088,196886,62833,448439,246783,117571,46449.0,19419.0,5220.0,63186.0,29295.0,14087.0,2411.0,470.0,170.0,1953.0,588.0,125.0,8458.0,3585.0,1004.0,10719.0,4784.0,1126.0,,,,,,,2392.0,579.0,124.0,2113.0,771.0,114.0,4846,1457,584,5925,2298,1335,10277,3983,1208,10638,5115,1670,2018,9995915,1720453,42816,56697,0.1405086532562918,0.08987584066526128,0.4929006085192698,0.147,0.054000000000000006,0.081,0.21100000000000002,0.076,0.139,0.7828482935279062,0.13773136326189248,0.005303366425184688,0.032596115513187134,0.0003908596661736319,0.011851541354643372,0.02927846025101254,0.39048262289059915
6,6,"Nebraska: Summary level: 040, state:31",303998,274295,77664,42851,59566,33.3,8.4,101512,71341,50933,38260,41952,1875342,206341,292316,22110,99.3,136845,167153,15.8,5.8,6.6,20.0,6.1,11.6,30416,27223,64082,765490,292316,928,Nebraska,31,"Nebraska: Summary level: 040, state:31",1666990,91221,18555,45779,1289,46473,58961,1929268,78048,38061,14037,84569,46950,26652,2135.0,808.0,392.0,2131.0,1211.0,521.0,417.0,156.0,0.0,756.0,54.0,24.0,853.0,319.0,41.0,1524.0,297.0,232.0,,,,,,,335.0,171.0,32.0,498.0,261.0,0.0,508,529,0,1055,373,21,2576,1089,745,3232,981,220,2018,1929268,303998,42851,59566,0.11002846414147392,0.07563732399184445,0.4982438534872052,0.158,0.057999999999999996,0.066,0.2,0.061,0.11599999999999999,0.8640531020055275,0.04728269996703413,0.009617637362979119,0.023728688808397798,0.0006681290520549763,0.02408841073401933,0.030561332069987165,0.42811465864907006
7,7,"Oregon: Summary level: 040, state:41",739611,678185,235906,47314,63426,21.6,6.5,259612,187984,128833,81800,81382,4113142,516570,728431,57589,98.5,340780,398831,16.1,5.7,8.1,20.0,6.8,12.9,81750,69888,241059,1639970,728431,4188,Oregon,41,"Oregon: Summary level: 040, state:41",3514983,82046,49051,190680,18758,137973,197222,4190713,197865,90858,27373,215090,105882,49293,2340.0,1011.0,187.0,2547.0,1223.0,247.0,2100.0,1285.0,228.0,1748.0,386.0,346.0,5963.0,2116.0,392.0,7976.0,2556.0,1700.0,127.0,40.0,0.0,310.0,299.0,45.0,1169.0,1711.0,182.0,2039.0,444.0,282.0,4339,1156,338,3983,1666,769,7731,4313,1120,7823,4267,1202,2018,4190713,739611,47314,63426,0.12559012064256472,0.07905896371790877,0.49622166246851385,0.161,0.057,0.081,0.2,0.068,0.129,0.8387553621543637,0.01957805270845319,0.011704690824687827,0.04550061051663524,0.004476087959256575,0.03292351444730288,0.04706168138930058,0.4273814207738933
8,8,"Wyoming: Summary level: 040, state:56",96557,87458,23971,44870,61584,28.4,9.3,35859,23608,17470,10362,9258,563374,62301,94202,6851,102.6,46060,50497,18.8,6.2,6.6,17.4,3.8,8.6,13600,8217,11545,230252,94202,185,Wyoming,56,"Wyoming: Summary level: 040, state:56",528453,3667,16185,5807,1111,8798,13716,577737,27966,12432,3628,28106,14643,5457,,,,,,,273.0,118.0,23.0,1098.0,111.0,36.0,,,,,,,,,,,,,,,,,,,287,52,0,102,174,0,1674,548,115,1921,517,477,2018,577737,96557,44870,61584,0.11058550802841452,0.07272669370077069,0.506416584402764,0.188,0.062,0.066,0.174,0.038,0.086,0.9146947486486066,0.006347178733576004,0.028014477175600662,0.010051286311937784,0.0019230203362429618,0.015228382464685488,0.023740906329350553,0.4559586565448388
9,9,"California: Summary level: 040, state:06",5667337,4570203,1825043,54272,75277,26.3,7.0,1856655,1429806,975951,675345,729580,38818454,4969326,5572308,586529,98.9,2521517,3145820,13.4,6.1,9.4,21.7,9.7,16.1,389129,403245,1114465,13072122,5572308,58804,California,6,"California: Summary level: 040, state:06",23535388,2283850,302792,5821585,155739,5453229,2004462,39557045,1064054,508899,198372,1182648,650125,324687,78902.0,34870.0,12228.0,97363.0,52347.0,21259.0,10663.0,4454.0,1339.0,12500.0,5088.0,2129.0,230201.0,115566.0,40774.0,293979.0,146566.0,77771.0,4930.0,2706.0,824.0,4889.0,3730.0,522.0,108382.0,41898.0,14243.0,125224.0,56789.0,23715.0,33095,11028,4089,39631,17230,7628,321038,131950,47041,380782,190219,79521,2018,39557045,5667337,54272,75277,0.12801452628690468,0.10525782135517275,0.4972347913524384,0.134,0.061,0.094,0.217,0.09699999999999999,0.161,0.5949733606238787,0.05773560689379098,0.00765456570378298,0.14716936009755027,0.003937073661594287,0.13785733995044372,0.05067269306895902,0.3125497919040283
10,10,"Mississippi: Summary level: 040, state:28",474423,379031,98986,36415,44717,21.0,6.0,155567,128789,89936,53771,46360,2886448,567645,461025,57037,94.0,205669,268754,14.9,9.2,10.3,27.0,9.4,16.9,39330,31546,164100,1108630,461025,1200,Mississippi,28,"Mississippi: Summary level: 040, state:28",1735455,1135599,13234,26142,1372,29778,44950,2986530,91602,46848,12397,101707,61947,23688,38761.0,10799.0,3125.0,48646.0,22196.0,6785.0,317.0,364.0,0.0,252.0,75.0,0.0,272.0,343.0,12.0,1106.0,330.0,166.0,,,,,,,270.0,0.0,28.0,180.0,0.0,45.0,278,209,0,965,596,70,1294,613,312,1001,521,191,2018,2986530,474423,36415,44717,0.19665866144132857,0.12371780272219511,0.4845360824742268,0.149,0.092,0.10300000000000001,0.27,0.094,0.16899999999999998,0.5810941125654188,0.3802402788520457,0.004431229554030932,0.008753302327450252,0.00045939602146973245,0.00997076875169511,0.015050911927889557,0.31795886793009615
11,11,"Connecticut: Summary level: 040, state:09",613147,535509,206383,54629,76348,31.2,9.6,187057,156003,112448,69943,87696,3468263,361377,592201,47078,95.0,267872,345275,12.0,4.9,7.5,18.2,6.9,12.8,45626,49873,154161,1378091,592201,3805,Connecticut,9,"Connecticut: Summary level: 040, state:09",2688136,391552,9507,165855,1017,195208,121390,3572665,139494,70327,27142,156265,90653,54582,10665.0,4648.0,874.0,14935.0,8052.0,2764.0,289.0,254.0,0.0,307.0,94.0,0.0,5077.0,1083.0,519.0,5129.0,2328.0,478.0,,,,,,,3541.0,1424.0,680.0,4434.0,2464.0,283.0,1198,547,110,1726,517,264,10570,4784,1236,12528,6844,1677,2018,3572665,613147,54629,76348,0.10419538541338993,0.07949665738490816,0.48717948717948717,0.12,0.049,0.075,0.182,0.069,0.128,0.7524175930292932,0.10959661765096923,0.002661038748385309,0.04642332824376201,0.0002846614502059387,0.05463932386607757,0.033977437011306684,0.3864701286967073
12,12,"Texas: Summary level: 040, state:48",3599599,2880131,986108,44319,60629,27.3,8.0,1231266,943028,627484,414886,382935,28074573,4180675,3514628,391187,98.6,1605880,1993719,15.2,7.5,9.6,23.8,8.8,14.9,341826,266691,1166233,9776083,3514628,68092,Texas,48,"Texas: Summary level: 040, state:48",21099066,3527027,149997,1430857,21463,1709445,763990,28701845,825811,388407,114801,923220,486003,215714,94828.0,32136.0,9306.0,125128.0,52426.0,18947.0,5455.0,1500.0,106.0,4963.0,1631.0,690.0,42325.0,18172.0,2629.0,53716.0,21256.0,6282.0,683.0,480.0,0.0,680.0,110.0,90.0,34821.0,14546.0,3650.0,38485.0,16501.0,6617.0,11025,3810,1389,13154,5392,2714,241315,101242,24186,278520,128864,58294,2018,28701845,3599599,44319,60629,0.1489132176649668,0.11130253329797635,0.49647532729103727,0.152,0.075,0.096,0.23800000000000002,0.08800000000000001,0.149,0.7351118368871409,0.12288502707752759,0.005226040346883624,0.04985243979960173,0.0007477916489340668,0.05955871477948543,0.026618149460426673,0.3692130706781505
